Unique Id,Name,Total households_2016-20,Total persons_2016-20,Households with children_ %_2000,Households with children_ %_2016-20,Female-headed households w/kids_ %_2000,Female-headed households w/kids_ %_2016-20,Children_ %_2016-20,Working age population_ %_2016-20,Seniors_ %_2016-20,Education less than high school_ %_2000,Education less than high school_ %_2016-20,Education=high school_ %_2000,Education=high school_ %_2016-20,Education=some college_ %_2000,Education=some college_ %_2016-20,Education=associates degree_ %_2000,Education=associates degree_ %_2016-20,Education=college or higher_ %_2000,Education=college or higher_ %_2016-20,English spoken at home_ %_2000,English spoken at home_ %_2016-20,Spanish spoken at home_ %_2000,Spanish spoken at home_ %_2016-20,Asian language spoken at home_ %_2000,Asian language spoken at home_ %_2016-20,Other language spoken at home_ %_2000,Other language spoken at home_ %_2016-20,Limited English household_ %_2016-20,White_ %_2000,White_ %_2016-20,African American_ %_2000,African American_ %_2016-20,Asian_ %_2000,Asian_ %_2016-20,American Indian_ %_2000,American Indian_ %_2016-20,Other or multiple race_ %_2000,Other or multiple race_ %_2016-20,Hispanic or Latino_ %_2000,Hispanic or Latino_ %_2016-20,Noncitizens_ %_2016-20,Workers driving/carpooling to work_ %_2000,Workers driving/carpooling to work_ %_2016-20,Workers using public transportation_ %_2000,Workers using public transportation_ %_2016-20,Workers walking or other non-vehicle_ %_2000,Workers walking or other non-vehicle_ %_2016-20,Crowded housing units_ %_2016-20,Poverty rate (all persons)_ %_2000,Poverty rate (all persons)_ %_2016-20,Poverty rate (children)_ %_2000,Poverty rate (children)_ %_2016-20,Median household income_2000,Median household income_2016-20,Persons below 185% poverty_ %_2017-21,Persons below 200% poverty_ %_2017-21,Ratio of 95th percentile to median income_2016-20,Gini Index Of Income Inequality_2016-20,Households renting home_ %_2000,Households renting home_ %_2016-20,Median rent_2000,Median rent_2016-20,Renters paying >30% income_ %_2000,Renters paying >30% income_ %_2016-20,Households without vehicle_ %_2000,Households without vehicle_ %_2016-20,Disability_ %_2016-20,Uninsured_ %_2016-20,Percent of population living in urban areas_2010,Percent of population living in urban areas_2020
stfid,name,hh1620_est,persons1620_est,hhkids00,hhkids1620_est,fhhhkids00,fhhhkids1620_est,kids1620_est,workingage1620_est,seniors1620_est,edlesshs00,edlesshs1620_est,edhs00,edhs1620_est,edsomecol00,edsomecol1620_est,edass00,edass1620_est,edcoll00,edcoll1620_est,langeng00,langeng1620_est,langspan00,langspan1620_est,langasn00,langasn1620_est,langoth00,langoth1620_est,limitedeng1620_est,racewhite00,racewhite1620_est,raceaa00,raceaa1620_est,raceasian00,raceasian1620_est,raceamind00,raceamind1620_est,raceoth00,raceoth1620_est,hispanic00,hispanic1620_est,noncitizens1620_est,drive00,drive1620_est,pubtransp00,pubtrans1620_est,walkoth00,walkoth1620_est,crowdedunits1620_est,pratecen00,prateacs1620_est,pratekidscen00,pratekidsacs1620_est,medinccen00,medincacs1620_est,pov185_1721_est,pov200_1721_est,r95hhincper_1620_est,gini1620_est,renters00,renters1620_est,medrent00,medrent1620_est,highrent00,highrent1620_est,noveh00,noveh1620_est,disability5up1620_est,uninsured1620_est,pcnt_urban10,pcnt_urban20
55003950500,Census Tract 9505,791,2153,37.8,33.5,4.3,5,30.5,52.9,16.6,11.3,3.7,41.7,35.3,22.3,23.3,8.2,17.5,16.5,20.1,95.7,97.3,1,2.1,0,.1,3.3,.5,0,95.9,89.5,0,0,0.2,.1,2.7,1.8,0.7,6.6,0.4,2,.6,78,90.2,0.4,.6,3,2.4,2.8,9.4,8.2,11.6,9.7,37989,58239,30.4,32.6,2.6,.365,12.8,10.4,430,783,11.4,41.5,3.6,2.7,12.1,4,0.0,0.0
55003950600,Census Tract 9506,615,1290,29.3,18.5,4.8,9.4,16,58.8,25.1,18,6.4,44.3,34.6,17.5,27.4,8.2,16.4,12,15.1,96.8,98.7,0.4,.8,0.2,.5,2.6,0,0,96.6,94.4,0.1,0,0.2,.5,1.2,1.6,1.2,1.2,0.7,2.3,0,73.7,88.6,0.3,0,10.9,8.9,2.3,9.3,10.7,13.9,20,32895,45677,30.3,37.5,2.9,.4122,21,15.9,247,549,17.6,52,7.7,4.9,19,2.2,0.0,0.0
55003950300,Census Tract 9503,1111,2930,32.7,27.5,7.4,13.6,20.6,65.3,14.1,7.7,6.6,38.3,30.5,19.2,23.3,7.8,12.7,27,26.9,94.7,95.6,1.2,.9,0.8,1,3.3,2.5,1.9,91.9,79.8,0.2,.8,1.1,1.3,4.2,7.8,1,5.6,1.6,4.7,.9,70.2,71.2,0,.8,21.7,25.7,0,10.6,19.7,8.8,26,37635,35085,38.3,44.5,4,.4606,34.7,46.1,428,582,30.3,50.2,8.9,13.8,19.8,2.7,100.0,97.1
55133203405,Census Tract 2034.05,1401,4203,55.9,49,3.4,2.3,29.9,61.2,8.9,6.4,1.2,31.4,15.3,24.8,15.9,10.7,10.5,26.7,57.1,96.5,95.1,1.1,1.7,0.1,1.2,2.2,2,.3,97.9,94.1,0.4,.2,0.2,2.4,0.2,0,0.5,.9,0.8,2.4,.7,93.9,88.8,0.6,0,2.9,1.4,0,1.7,2.5,1.8,4.6,71008,138912,3.8,4.5,1.8,.421,5.9,7.3,705,1017,17.6,42.2,1.3,.9,4.9,4.7,96.1,92.6
55005000500,Census Tract 5,2049,4770,32.6,29.3,8.7,14.5,25.9,53,21.1,12.1,7.6,34,30.8,24.9,24,10.1,8.8,18.9,28.6,97.8,97.5,1.2,.7,0.3,1,0.7,.8,0,96.7,95.7,0.1,0,0.6,1.1,0.5,.4,0.7,2.4,1.5,.4,1.3,70.3,89.3,0.6,1.4,4.4,6.2,.3,10.7,15.4,15.3,11.2,33778,37250,41.3,42.4,5,.546,34.8,38.9,407,737,32.6,63.4,10.1,14.7,18,9.1,88.4,95.8
55027961400,Census Tract 9614,1536,4067,40.5,30.4,2.6,5,22.2,63.4,14.4,20.7,7.9,43.4,43.1,17.9,22,6.7,11.6,11.3,15.3,95.7,96.7,1.1,1.6,0.1,.2,3.2,1.5,1.2,99,96.9,0,0,0.2,.2,0.2,.5,0.2,0,0.4,2.4,.8,77.3,91.3,0.1,0,4.4,1.5,1.8,4.8,4,6.1,4.4,48351,70152,12.1,16.1,2.4,.3325,15.9,14.6,583,996,9.6,21.4,1.6,1.8,9.7,3,1.8,0.0
55009001801,Census Tract 18.01,2319,5935,30.1,31.8,5.2,11.3,20.2,63.3,16.5,14.9,7.2,27.2,33.2,16.2,14.8,8.5,10.8,33.3,34,94.9,88.2,1.6,6.9,1.8,3.7,1.7,1.2,.6,94.9,77.6,0.8,4.2,1.2,4.4,0.8,2.1,0.7,2.8,1.6,8.8,3.1,46.5,93,0,1.7,0.7,1.3,4,5,7.6,7.5,3.6,50550,67101,23.8,24.3,2.6,.3886,43.5,48.6,630,922,27.2,35.8,6.1,5.2,10.5,6.5,97.3,98.3
55009002003,Census Tract 20.03,1490,3407,39.3,21.2,5.8,2.1,20.2,62.7,17.2,3.7,5.7,31.5,30.5,31.8,15.3,14.2,12.2,18.8,36.4,96.5,90.7,1.5,5.8,0,3.5,2,0,.7,95.2,84.2,0.8,0,1.4,6.7,0.4,0,0.7,.3,1.5,8.8,1,66.3,92.5,0.7,0,0,1.4,1.2,4.3,6.5,4.2,1.7,52939,71964,20.6,21.7,2.4,.4237,26.9,33.5,650,999,17.1,59.9,3.1,11.1,14.2,4,80.2,97.4
55009002002,Census Tract 20.02,1884,4897,44.8,33.1,8.1,3.5,29.8,57.9,12.3,9.5,6.6,33.3,31.3,20,20.2,13.5,13.6,23.7,28.3,91.2,86,4.1,9.8,3.1,1.3,1.6,3,0,90.2,70.8,0.9,0,3.5,3.4,0.7,1.3,1,1.3,3.7,23.1,5.2,59.2,84.3,0.5,2.4,2,3.9,1.1,3.3,7,0.8,3.9,50922,57639,18.7,20.4,3,.373,37.4,41.8,607,769,16.4,15,1.3,0,7.1,3.1,100.0,100.0
