,stfid,adm2_code,NAMELSAD,hh1620_est,persons1620_est,hhkids1620_est,kids1620_est,seniors1620_est,edlesshs1620_est,langeng1620_est,langasn1620_est,racewhite1620_est,raceaa1620_est,raceasian1620_est,raceamind1620_est,hispanic1620_est,noncitizens1620_est,drive1620_est,prateacs1620_est,pratekidsacs1620_est,gini1620_est,renters1620_est,noveh1620_est
0,55035,WI-55035,Eau Claire County,1.75,1.79,26.9,20.3,15.4,4.9,93.5,3.1,89.2,1.1,3.8,0.3,2.6,1.3,87.4,13.1,10.8,0.4396,3580.0,6.5
1,55037,WI-55037,Florence County,0.09,0.07,18.4,15.4,26.3,6.9,98.9,0.0,97.2,0.6,0.0,0.3,0.4,0.0,90.3,9.9,5.3,0.4529,1250.0,4.7
2,55039,WI-55039,Fond du Lac County,1.76,1.77,26.5,21.4,18.4,7.7,94.7,0.8,88.6,1.4,1.2,0.4,5.4,2.2,91.2,8.2,12.4,0.4014,2940.0,5.9
3,55043,WI-55043,Grant County,0.83,0.89,26.6,20.7,17.2,8.1,94.9,0.5,94.7,1.5,1.0,0.1,1.8,1.0,83.5,15.1,15.4,0.4218,3070.0,6.4
4,55047,WI-55047,Green Lake County,0.34,0.32,26.4,22.2,22.0,9.3,91.9,0.0,92.0,0.9,0.3,0.2,5.1,1.0,88.5,10.6,14.8,0.4238,2340.0,8.4
5,55049,WI-55049,Iowa County,0.41,0.41,28.2,22.7,18.5,4.6,97.5,0.3,94.4,0.8,0.7,0.2,1.9,0.7,86.2,7.9,7.6,0.4296,2600.0,3.2
6,55051,WI-55051,Iron County,0.12,0.1,17.6,14.7,30.8,4.9,97.1,0.1,95.3,0.2,0.4,1.1,1.4,0.4,87.9,13.4,18.6,0.4265,2080.0,5.5
7,55053,WI-55053,Jackson County,0.35,0.35,28.5,21.8,18.9,9.5,93.7,0.2,86.0,2.0,0.5,5.3,3.6,1.2,87.7,11.9,14.8,0.4183,2410.0,4.9
8,55055,WI-55055,Jefferson County,1.4,1.46,28.9,21.1,17.1,8.0,94.3,0.2,89.4,0.7,0.5,0.1,7.2,1.9,90.0,8.4,9.8,0.4121,2880.0,3.8
9,55057,WI-55057,Juneau County,0.45,0.46,24.3,20.1,20.4,10.2,96.2,0.3,91.3,2.3,0.5,0.9,3.2,0.9,88.5,15.1,21.6,0.4435,2360.0,3.2
10,55059,WI-55059,Kenosha County,2.72,2.91,31.3,22.8,14.1,9.8,87.3,0.9,75.0,6.7,1.6,0.3,13.5,3.8,92.2,12.0,17.7,0.4297,3360.0,5.5
11,55061,WI-55061,Kewaunee County,0.35,0.35,29.4,21.2,20.6,6.4,96.9,0.2,94.2,0.7,0.4,0.5,3.2,1.6,88.5,6.8,5.7,0.3823,1930.0,4.2
12,55063,WI-55063,La Crosse County,2.02,2.03,25.0,19.8,16.3,4.7,94.3,2.8,89.4,1.6,4.3,0.2,2.0,0.9,87.4,12.2,6.6,0.455,3750.0,6.7
13,55065,WI-55065,Lafayette County,0.28,0.29,29.1,24.2,18.9,8.5,92.5,0.1,93.7,0.6,0.4,0.3,4.1,1.9,85.6,11.2,14.8,0.4053,2270.0,5.1
14,55067,WI-55067,Langlade County,0.36,0.33,23.8,19.4,23.8,10.2,98.0,0.0,93.5,0.7,0.2,0.6,2.2,1.0,88.3,12.7,19.5,0.4157,2160.0,5.2
15,55069,WI-55069,Lincoln County,0.53,0.48,22.9,18.4,21.6,8.2,97.3,0.4,94.8,0.7,0.3,0.4,1.9,0.6,89.3,9.3,10.7,0.3986,2210.0,5.6
16,55071,WI-55071,Manitowoc County,1.45,1.36,26.0,20.6,20.4,7.0,94.6,1.7,89.9,1.1,2.7,0.4,4.3,1.5,90.2,9.0,12.3,0.4044,2410.0,6.5
17,55073,WI-55073,Marathon County,2.35,2.33,29.0,22.9,17.5,7.6,92.2,4.3,87.5,0.5,5.4,0.2,2.9,1.5,89.6,8.8,12.1,0.4317,2890.0,5.2
18,55075,WI-55075,Marinette County,0.79,0.69,21.7,18.9,23.7,9.0,97.1,0.3,95.1,0.7,0.3,0.5,1.9,0.5,91.4,11.2,15.9,0.4202,2440.0,6.6
19,55077,WI-55077,Marquette County,0.28,0.26,22.0,19.4,24.6,9.5,96.7,0.3,93.2,0.6,0.5,0.4,3.6,0.5,90.3,10.1,13.4,0.3927,1940.0,4.5
20,55078,WI-55078,Menominee County,0.06,0.08,44.6,32.6,13.2,8.3,96.5,0.0,9.5,0.2,0.2,78.2,7.2,0.2,86.3,28.3,41.9,0.4823,3310.0,10.7
21,55079,WI-55079,Milwaukee County,16.14,16.35,28.4,24.0,13.6,11.3,82.5,2.8,50.3,25.9,4.4,0.4,15.4,5.3,84.6,18.3,26.4,0.4777,5090.0,13.2
22,55081,WI-55081,Monroe County,0.76,0.79,30.4,25.3,16.7,9.2,92.0,0.5,90.1,1.8,0.8,1.0,4.8,1.3,86.4,9.8,13.8,0.4064,2930.0,6.9
23,55083,WI-55083,Oconto County,0.68,0.65,26.2,20.1,20.6,8.7,97.5,0.3,94.5,0.3,0.3,1.0,2.0,0.3,89.7,9.0,12.0,0.3863,1730.0,3.3
24,55085,WI-55085,Oneida County,0.66,0.61,17.7,17.3,25.9,6.1,98.0,0.3,94.7,0.5,0.4,1.5,1.6,0.5,90.6,8.0,10.2,0.4616,1720.0,3.6
25,55087,WI-55087,Outagamie County,3.14,3.22,31.1,23.5,14.8,6.0,93.6,2.4,87.1,1.4,3.4,1.4,4.4,1.7,90.4,7.1,9.5,0.4149,2870.0,4.0
26,55091,WI-55091,Pepin County,0.13,0.13,28.0,20.8,22.3,9.2,95.6,0.1,96.2,0.3,0.4,0.3,2.1,0.9,83.5,10.8,16.6,0.4216,2010.0,4.1
27,55093,WI-55093,Pierce County,0.67,0.73,27.7,20.7,14.7,5.4,96.4,0.7,93.5,0.7,1.0,0.2,2.3,1.1,88.6,8.5,4.6,0.3879,2770.0,3.7
28,55095,WI-55095,Polk County,0.78,0.75,26.0,20.9,20.6,5.9,97.8,0.4,94.8,0.4,0.4,0.8,1.9,0.5,90.4,9.3,12.5,0.4028,2020.0,3.3
29,55097,WI-55097,Portage County,1.22,1.22,25.2,19.2,16.6,5.9,93.9,2.2,90.8,0.7,3.1,0.2,3.4,2.3,86.3,10.9,8.4,0.4271,3110.0,5.1
30,55099,WI-55099,Price County,0.28,0.23,21.7,17.0,25.9,8.0,97.0,1.0,93.9,0.5,0.6,0.9,1.9,1.2,88.7,13.0,20.9,0.4215,2070.0,5.1
31,55101,WI-55101,Racine County,3.27,3.37,31.2,23.2,16.5,8.9,90.2,0.6,70.9,11.1,1.3,0.3,13.7,2.6,91.2,12.3,18.8,0.444,3190.0,6.3
32,55103,WI-55103,Richland County,0.32,0.3,25.2,21.6,23.1,9.6,93.9,0.7,94.0,0.6,0.7,0.2,2.5,1.4,88.1,13.4,17.5,0.4232,2450.0,6.1
33,55105,WI-55105,Rock County,2.74,2.8,29.3,23.2,16.6,8.3,92.1,0.6,81.9,4.6,1.1,0.3,9.0,2.6,92.1,12.2,18.2,0.4182,3160.0,6.1
34,55107,WI-55107,Rusk County,0.27,0.24,24.4,20.4,24.2,11.3,97.1,0.4,94.5,0.6,0.1,0.3,2.0,0.4,86.8,11.3,15.4,0.4051,2130.0,4.4
35,55109,WI-55109,St. Croix County,1.46,1.54,35.9,24.8,14.1,3.7,96.6,0.4,93.6,0.7,0.9,0.2,2.5,0.9,90.2,5.2,5.1,0.4018,2280.0,3.0
36,55111,WI-55111,Sauk County,1.12,1.1,27.6,22.8,18.4,8.8,92.5,0.5,90.6,0.7,0.5,1.2,5.3,2.1,90.2,8.9,12.1,0.4194,3000.0,5.3
37,55113,WI-55113,Sawyer County,0.33,0.28,25.0,18.8,26.1,7.9,95.5,0.2,76.8,0.4,0.5,16.2,2.8,0.5,88.8,14.9,23.2,0.4772,2660.0,4.5
38,55115,WI-55115,Shawano County,0.72,0.7,25.5,21.5,21.2,8.0,97.2,0.3,86.3,0.4,0.4,6.5,3.0,0.5,88.1,10.3,14.9,0.4081,2220.0,4.4
39,55117,WI-55117,Sheboygan County,2.01,1.98,26.6,22.1,17.9,6.3,90.6,4.2,83.5,2.0,5.9,0.3,6.6,2.4,90.9,7.0,8.5,0.4058,2970.0,5.4
40,55119,WI-55119,Taylor County,0.36,0.35,28.7,23.5,19.3,11.8,95.6,0.1,95.6,0.0,0.4,0.2,2.3,1.0,84.0,9.2,9.0,0.4241,2280.0,6.1
41,55131,WI-55131,Washington County,2.3,2.33,30.2,21.9,18.0,4.9,96.3,0.7,92.5,1.3,1.4,0.2,3.3,1.0,91.3,5.1,5.3,0.4126,2290.0,3.2
42,55015,WI-55015,Calumet County,0.84,0.86,32.7,23.8,14.9,5.1,94.8,1.6,90.5,0.9,2.4,0.5,4.4,0.9,91.9,5.4,7.3,0.4055,1890.0,3.1
43,55017,WI-55017,Chippewa County,1.1,1.11,29.4,22.1,17.8,7.1,96.9,0.8,93.3,1.5,1.4,0.3,1.8,0.6,89.1,9.9,13.4,0.4228,2670.0,3.9
44,55019,WI-55019,Clark County,0.54,0.6,32.9,29.6,16.5,17.0,83.8,0.1,92.3,0.2,0.3,0.2,5.1,1.9,81.0,12.2,18.0,0.4125,2160.0,9.1
45,55021,WI-55021,Columbia County,1.02,0.99,28.6,21.3,17.8,6.7,94.9,0.5,92.1,1.7,0.8,0.4,3.6,1.4,90.3,6.7,6.6,0.4007,2550.0,4.0
46,55023,WI-55023,Crawford County,0.28,0.28,21.8,19.9,23.4,8.2,96.3,0.2,94.1,1.9,0.5,0.2,1.7,0.7,90.5,13.8,22.9,0.4508,2560.0,7.1
47,55135,WI-55135,Waupaca County,0.95,0.88,26.6,20.4,20.6,8.2,95.8,0.1,94.1,0.6,0.5,0.5,3.2,1.1,89.4,9.2,13.3,0.4325,2620.0,4.2
